STATE,COUNTY,TRACTFIPS_STR,POPULATION,BUILDVALUE,AREA,RISK_SCORE,RISK_RATNG,EAL_SCORE,EAL_VALT,SOVI_SCORE,RESL_SCORE,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES,EAL_PER_CAPITA,ALT_EAL_PC_PCTL,ALT_SVI_PCTL,ALT_LACK_RESILIENCE,ALT_RISK_SCORE,ALT_RISK_RATNG,RISK_SCORE_DIFF,ABS_RISK_SCORE_DIFF
Iowa,Boone,19015020100,3245,1243514561.0,157.7830956,83.43381732129905,Relatively Moderate,87.34175728679804,3129567.121977978,37.12551087,94.28148323658334,0.1481,0.0348,0.3987,0.7733,0.2088,964.4274643999931,75.65135007105637,20.880000000000003,5.718516763416659,43.25288504648787,Relatively Moderate,-40.18093227481118,40.18093227481118
Iowa,Boone,19015020200,3889,771089570.0,2.51049942,44.997800054701344,Relatively Low,51.72276111515606,1409259.5885857933,32.93016644,94.28148323658334,0.431,0.0943,0.2486,0.1291,0.1324,362.3706836168149,26.726669824727615,13.239999999999998,5.718516763416659,18.180778935639925,Very Low,-26.81702111906142,26.81702111906142
Iowa,Boone,19015020300,6051,1557932316.0,4.295075460000001,48.5605222789055,Relatively Low,78.0855861145689,2375909.194139502,9.209856068,94.28148323658334,0.459,0.1538,0.3841,0.6308,0.3951,392.6473631035369,30.15632401705353,39.51,5.718516763416659,30.232123322186588,Relatively Low,-18.328398956718914,18.328398956718914
Iowa,Boone,19015020400,2464,361825071.0,2.53726122,29.352026922573813,Relatively Low,19.64675763910092,733761.0085604341,80.36367944,94.28148323658334,0.5365,0.7621,0.2452,0.7553,0.6622,297.7926171105658,19.61155850307911,66.22,5.718516763416659,36.170978840898094,Relatively Low,6.818951918324281,6.818951918324281
Iowa,Boone,19015020500,5075,1298715224.0,113.23892619,78.92690235810352,Relatively Moderate,86.14745050144444,2995621.0257187644,26.26428952,94.28148323658334,0.0943,0.1863,0.2632,0.4153,0.1392,590.2701528509881,50.3742302226433,13.919999999999998,5.718516763416659,29.094181114701982,Relatively Low,-49.83272124340154,49.83272124340154
Iowa,Boone,19015020600,2234,714968477.0,160.27359348,83.7632145362872,Relatively Moderate,84.61493294501726,2850169.7747516376,51.85630516,94.28148323658334,0.2099,0.3569,0.2038,0.5196,0.2862,1275.8145813570445,85.48555187115112,28.62,5.718516763416659,50.7742758565305,Relatively Moderate,-32.98893867975669,32.98893867975669
Iowa,Boone,19015020700,3757,1063848838.0,138.78004881,85.61116858715945,Relatively High,86.31773022993636,3013358.062133195,52.61091038,94.28148323658334,0.2694,0.5342,0.0616,0.1684,0.2076,802.0649619731687,66.77404073898626,20.76,5.718516763416659,39.210095847056316,Relatively Low,-46.40107274010314,46.40107274010314
Iowa,Bremer,19017004000,2406,570318882.0,2.55991164,28.78717610264826,Relatively Low,25.419827606454188,845779.6846506307,60.17828585,96.7243217628243,0.6431,0.349,0.5151,0.954,0.7531,351.529378491534,25.476077688299387,75.31,3.275678237175697,42.07958669531108,Relatively Moderate,13.292410592662819,13.292410592662819
Iowa,Bremer,19017004100,3819,704260992.0,11.61223089,33.189445019204925,Relatively Low,65.78316931676727,1824222.868726552,9.209856068,96.7243217628243,0.1156,0.6925,0.3337,0.4097,0.3019,477.67029817401203,39.40312648034107,30.19,3.275678237175697,30.298758651729838,Relatively Low,-2.8906863674750873,2.8906863674750873
Iowa,Bremer,19017004200,4463,1167276715.0,13.81431324,60.286825300560096,Relatively Moderate,69.55750757451206,1967175.2090759017,27.82917728,96.7243217628243,0.3434,0.5511,0.5364,0.1863,0.3221,440.77418979966427,35.55660824253908,32.21,3.275678237175697,29.37582544471894,Relatively Low,-30.910999855841155,30.910999855841155
Iowa,Bremer,19017004300,1839,733866389.0,84.80055909,32.97896376630635,Relatively Low,65.56826455598093,1816316.395872904,9.209856068,96.7243217628243,0.073,0.3131,0.0448,0.0123,0.0236,987.6652506106058,76.66508763619137,2.36,3.275678237175697,35.934641171862474,Relatively Low,2.9556774055561235,2.9556774055561235
Iowa,Bremer,19017004400,2679,959772347.0,100.10830089,42.759801648175234,Relatively Low,74.85731733095335,2200490.0886129406,9.209856068,96.7243217628243,0.2189,0.1235,0.3987,0.0707,0.0741,821.3848781683242,67.91094268119375,7.41,3.275678237175697,34.01527594211354,Relatively Low,-8.744525706061694,8.744525706061694
Iowa,Bremer,19017004500,2356,952439580.0,178.58104602,75.83033070529058,Relatively Moderate,85.83977264720389,2964173.4868510584,19.36622638,96.7243217628243,0.4512,0.0382,0.0269,0.0079,0.0281,1258.138152313692,85.04973945997158,2.81,3.275678237175697,39.88773449256357,Relatively Low,-35.94259621272701,35.94259621272701
Iowa,Bremer,19017004600,5341,1150886057.0,45.594342690000005,75.0680793882963,Relatively Moderate,83.69424806820584,2769235.5275933444,24.58212403,96.7243217628243,0.037,0.2593,0.0773,0.2649,0.0673,518.4863373138634,43.84651823780199,6.7299999999999995,3.275678237175697,22.91428494258725,Relatively Low,-52.153794445709046,52.153794445709046
Iowa,Bremer,19017004700,2067,565482372.0,6.76959348,24.81300464961412,Relatively Low,31.37844376071588,962157.0138380452,29.18675591,96.7243217628243,0.3412,0.7901,0.1053,0.6285,0.5017,465.4847672172449,38.12411179535765,50.17,3.275678237175697,37.715202043487295,Relatively Low,12.902197393873177,12.902197393873177
Iowa,Buchanan,19019950100,2374,798132642.0,148.5000894,60.686382933181115,Relatively Moderate,66.41379148366488,1846020.9152703984,36.20387372,81.37661414524345,0.3367,0.7363,0.1825,0.1762,0.3075,777.5993745873624,65.3813358597821,30.75,18.62338585475655,44.51510901511543,Relatively Moderate,-16.171273918065687,16.171273918065687
Iowa,Buchanan,19019950200,3887,972590870.0,101.68277652,77.48683005719857,Relatively Moderate,73.99300091598751,2162643.1902412027,64.61766274,81.37661414524345,0.6745,0.6588,0.0941,0.6835,0.6498,556.378489899975,47.1435338702037,64.98,18.62338585475655,50.00009811980515,Relatively Moderate,-27.486731937393422,27.486731937393422
